Name,Location,Capacity,Capacity in family,Floor area,Type,Features,Proximity,Source of water,Remarks,Lat,Lng,Contact person and number
"MAHABANG-PARANG ELEMENTARY SCHOOL","LUGAY STREET,MAHABANG-PARANG",35,7,112,"School","3 male,3 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.468611,121.207722,"Richard Y. Bianes,Principal I,09603389782"
"BESIDE BRGY. HALL","BRGY. MAHABANG-PARANG",380,70,56,"Gym / Covered Court","Permanent structure without WASH facilities","","","undefined",14.4695,121.210667,"Hon. Rodel A. Aran,Barangay Captain,09668142078"
"MALAKABAN ELEMENTARY SCHOOL","MALAKABAN",30,6,840,"School","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.331444,121.223083,"Jimmy S. Pajarillo,Head Teacher II,09270068457"
"CASIMIRO-YNARES SR. ELEMENTARY SCHOOL","SAMPAGUITA STREET,MAMBOG",30,6,120,"School","2 male,2 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.480889,121.212389,"Bernadette B. Alva,Principal II,09201025245"
"SITIO PEDRO CRUZ EXTENSION","BRGY. PAG-ASA",350,70,60,"Gym / Covered Court","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.523222,121.1595,"Hon. Ma. Miriam C. Gatulayao,Barangay Captain,09208151168"
"DONYA SUSANA MADRIGAL ELEMENTARY SCHOOL","PALANGOY",40,6,493,"School","12 male,12 female comfort rooms","","","undefined",14.494861,121.180139,"Melvin C. Cruz,Principal III,09564373680"
"STA. LUCIA YNARES VILLAGE, BRGY. PANTOK","PANTOK",50,10,6433,"Multi- Purpose Hall","1 common comfort room,Permanent structure with sufficient WASH facilities","","","undefined",14.513028,121.190306,"Hon. Glenn B. Torres,Barangay Captain,09353875082"
"MABUHAY HOMES 2000 ELEMENTARY SCHOOL","PANTOK",40,6,0,"School","2 male,2 female comfort rooms","","","undefined",14.507944,121.189278,"Lorna D. Plegaria,Principal II,09994550578"
"PILA-PILA ELEMENTARY SCHOOL,","ANTIPORDA STREET,PILA-PILA",50,10,0,"School","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.448194,121.208,"Ava Jane P. Aralar,Principal I,09353577024"
"BRGY. PILA-PILA","ALONG NATIONAL ROAD,PILA-PILA",380,70,0,"Gym / Covered Court","Permanent structure with sufficient WASH facilities","","","undefined",14.451167,121.203861,"Hon. Johann C. Nido,Barangay Captain,09265807604"
"PINAGDILAWAN ELEMENTARY SCHOOL","PINAGDILAWAN",60,12,0,"School","2 male,2 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.327194,121.225611,"Vivian D. De Lemos,Head Teacher II,09490978051"
"PIPINDAN ELEMENTARY SCHOOL","EVERLASTING ST. PUROK 6,PIPINDAN",35,7,0,"School","3 male,3 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.41725,121.2165,"Abigail T. Arada,Head Teacher I,09288605816"
"BRGY. PIPINDAN","PIPINDAN",380,70,0,"Gym / Covered Court","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.41725,121.215972,"Hon. Vergel Anthony U. Celebre,Barangay Captain,09352069407"
"BARRIO SCHOOL, SITIO BANABA, BRGY. RAYAP","RAYAP",30,6,0,"School","3 male,3 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.297639,121.236667,"Hon. Jaime B. Celones,Barangay Captain,09851582683"
"SAPANG ELEMENTARY SCHOOL","SAPANG",30,6,0,"School","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.33825,121.219333,"Marty DC. Cerda,Principal I,09985504942"
"SAN CARLOS ELEMENTARY SCHOOL","RAMONA STREET,SAN CARLOS",25,5,0,"School","15 male,15 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.514639,121.167306,"Hon. Anne M. De Leon,Barangay Captain,09171599557"
"TABON ELEMENTARY SCHOOL","TABON",46,9,0,"School","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.308694,121.232833,"Pepito V. Ceque�a,Head Teacher III,09288662440"
"SITIO MALITLIT PHASE 1","BRGY. TAGPOS",30,6,0,"Daycare","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.5055,121.17275,"Hon. Ricardo C. Dela Cuesta,Barangay Captain,09163306337"
"TAGPOS ELEMENTARY SCHOOL","TAGPOS",30,6,0,"School","3 male,3 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.508111,121.169,"Eugenia Certeza,Principal I,09456178944"
"VILLAFRANCA STREET","BRGY. TATALA",200,40,0,"Gym / Covered Court","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.48425,121.207389,"Hon. Fermin B. Unida,Barangay Captain,09273538445"
"TATALA ELEMENTARY SCHOOL","F. BULADO STREET,TATALA",40,8,0,"School","2 male,2 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.483139,121.20475,"Leonida O. Aquino,Principal I,093991723337"
"NATIONAL ROAD","TAYUMAN",63,16,0,"Multi- Purpose Hall","1 common comfort room,Permanent structure with sufficient WASH facilities","","","undefined",14.513472,121.162583,"Hon. Raymundo H. Villadiego,Barangay Captain,09475929933"
"TAYUMAN COVERED COURT","ALONG NATIONAL ROAD,TAYUMAN",400,80,0,"Gym / Covered Court","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.513278,121.162611,"Hon. Raymundo H. Villadiego,Barangay Captain,09475929933"
"TAYUMAN ELEMENTARY SCHOOL","TAYUMAN",30,6,0,"School","2 male,2 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.517194,121.16,"Dionicia C. Figura,Principal II,09173063922"
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
"","",0,0,0,"","","","","undefined",0,0,""
