name,location,capacity,capacity_in_family,floor_area,type,features,proximity,source_of_water,remarks,lat,lng,contact_person_and_number
One Cainta Shelter,Brgy. San Andres,,65,600M,," Water Supply,Comfort Rooms,Solid Waste Mgt.",600M,,,"14.564959, 121.106476",121.106476,MSWD-8696-2619
Planters Day Care Center,"Planters Floodway, Brgy. San Andres",,8,6.8km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",6.8km,,,"14.557778, 121.111111",121.111111,Kimberly B. Correa-Child Development Worker-09512841049
Balanti Covered Court,"Balanti, Brgy. San Isidro",,90,8.3km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",8.3km,,,"14.635833, 121.108889",121.108889,Brgy. Staff-MA. Yolanda .Lagrimas-Child Development Worker-6824405/6818982
Balanti Elementary School,"Balanti, Brgy. San Isidro",,170,8.3km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",8.3km,,,"14.636111, 121.108333",121.108333,Brgy. Staff-MA. Yolanda .Lagrimas-Child Development Worker-6824405/6818982
SitioHalang Elementary School,"SitioHalang, Brgy. San Isidro",,80,9.6km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",9.6km,,,"14.613889, 121.127778",121.127778,Rachel Pascual-Child Development Worker-09284733246
Brookside Health Center,"Brookside Hills, Brgy. San Isidro",,10,2.6km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",2.6km,,,"14.591389, 121.124722",121.124722,Desk Officer (On Duty)-656-06-81
Brookside Senior Citizen Office,"Brookside Hills, Brgy. San Isidro",,10,2.6km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",2.6km,,,"14.591389, 121.124722",121.124722,Desk Officer (On Duty)-656-06-81
Barangay Hall Satellite,"KarangalanSub d., Brgy. San Isidro",,20,3.6km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",3.6km,,,"14.610556, 121.103611",121.103611,Brgy. Staff-6818982/6824405
Karangalan Elementary School,"KarangalanSub d., Brgy. San Isidro",,44,3.9km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",3.9km,,,"14.609444, 121.106111",121.106111,Alicia Andres- Child Development Worker-09303647412
Marick Covered Court,"Marick Subd., Brgy. Sto.Domingo",,90,1.0km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",1.0km,,,"14.583614, 121.111564",121.111564,Brgy. Staff on Duty-6565462
Marick Elementary School,"Marick Subd., Brgy. Sto.Domingo",,300,1.0km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",1.0km,,,"14.583367, 121.111619",121.111619,Odette R. Reyes-Child Development Worker-9213645099
Barangay Hall-Marick,"Marick Subd., Brgy. Sto.Domingo",,20,1.1km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",1.1km,,,"14.583997, 121.111500",121.111667,Brgy. Staff on Duty-6565462
Riverside Covered Court,"Riverside Subd.,Brgy. Sto.Domingo",,80,1.5km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",1.5km,,,"14.588889, 121.111667",121.117239,Lourdes A. Basada- Child Development Worker-09212271215
Gruar Covered Court,"Gruar Subd., Brgy. Sto.Domingo",,80,1.5km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",1.5km,,,"14.588583, 121.117239",121.114444,Gina C. Tacadao- Child Development Worker-09174771657
Village East Day Care Center,"Village East Subd., Brgy. Sto. Domingo",,20,2.8km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",2.8km,,,"14.600556, 121.114444",121.110556,Olivia G. Betonio- Child Development Worker-09208962062
Villa Rica Multi-Purpose Hall,"Villa Rica Subd.,Brgy. Sto. Domingo",,10,3.2km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",3.2km,,,"14.591667, 121.110556",121.105833,Olivia G. Betonio- Child Development Worker-09273919561
Saint Joseph Elementary School,"Saint Joseph Subd., Brgy. Sto. Domingo",,160,2.6km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",2.6km,,,"14.591111, 121.105833",121.117939,Kristian Margaritte Radam- Child Development Worker-09770983240
Sto. Nino Barangay Hall,Brgy. Sto Nino,,20,550m,," Water Supply,Comfort Rooms,Solid Waste Mgt.",550m,,,"14.581856, 121.117939",121.118183,Brgy. Staff Krizille Anne Agura-Child Development Worker-994-83-92/470-18-28/09215772987
Sto. Nino Day Care Center,Brgy. Sto Nino,,10,550m,," Water Supply,Comfort Rooms,Solid Waste Mgt.",550m,,,"14.581914, 121.118183",121.117775,Brgy. Staff Krizille Anne Agura-Child Development Worker-994-83-92 / 470-18-28/09125772987
San Roque Covered Court,Brgy. San Roque,,90,650m,," Water Supply,Comfort Rooms,Solid Waste Mgt.",650m,,,"14.576422, 127.051108",121.117844,Brgy. Staff on Duty-664-70-44/4978281
Cainta Elementary School,Brgy. San Roque,,"1,300",700m,," Water Supply,Comfort Rooms,Solid Waste Mgt.",700m,,,"14.575872, 121.117844",,664-70-44 / 4978281
