Name,Location,Capacity,Capacity in family,Floor area,Type,Features,Proximity,Source of water,Remarks,Lat,Lng,Contact person and number
Subay Elem. School,Barangay Subay-ISLAND BARANGAY,0,300,78,,"1 bathroom Each,1 wash area","7km to PNP 7 km to Municipal Building,6.km to Hospital",,,14.403917,121.228944,
Mal/Cal Day Care Center Mal/Cal Barangay Hall,Barangay Mal/Cal-ISLAND BARANGAY,0,50,66,,"1 bathroom Each,1 artesian well","8km to PNP 8 km to Municipal Building,7.km to Hospital",,,14.378694,121.234361,Nestor F. Valencia-0927-275-7513
Boor Day Care Center Boor Barangay Hall,Barangay Boor-ISLAND BARANGAY,0,50,66,,1 bathroom Each,"8.5km to PNP 8.5 km to Municipal Building,7.5km to Hospital",,,14.364389,121.237333,
Boor Elem. School,Barangay Boor-ISLAND BARANGAY,0,200,78,,"1 bathroom Each,1 wash area",8.5km to  PNP 8.5km to Municipal Building 7.5km to Hospital,,,14.364389,121.237333,Buddy Crisostomo-0916-344-4327
Lambac Day Care Center Lambac Barangay Hall,Barangay Lambac-ISLAND BARANGAY,0,50,66,,1 bathroom Each,9km to PNP 9km to Municipal Building 8km to Hospital,,,14.349417,121.240417,
E. C. Ocampo Elem. School,Barangay Lambac-ISLAND BARANGAY,0,300,78,,"1 bathroom Each,1 wash area",9km to PNP 9 km  to Municipal Building 8km to Hospital,,,14.349417,121.240417,Zaldy H. Martin-0935-326-5795
Tuna Day Care Center Tuna Barangay Hall,Barangay Tuna-ISLAND BARANGAY,0,50,66,,1 bathroom Each,"12km to PNP,12 km to Municipal Building 11km to Hospital",,,14.333139,121.242778,
Balibago Day Care Center/Balibago Barangay Hall,Barangay Balibago-ISLAND BARANGAY,0,50,66,,1 bathroom each,"13km to PNP 13km to Municipal Building,12km to Hospital",,,14.327944,121.239583,Herminio R. Francisco-0935-207-7763
Tuna-Balibago Elem. School,Barangay Balibago-ISLAND BARANGAY,0,300,781730,,"1 bathroom Each,1 wash area,1 artesian well","13km to PNP 13km to Municipal Building,12km to Hospital",,,14.327944,121.239583,
Permanent Evacuation Center,Barangay San Roque-ISLAND BARANGAY,0,250,1730,,"2 bathroom,1 wash facility,1 Communal Kitchen","100 meters to PNP 150 meters to Municipal Building,.5km to Hospital",,,14.487667,121.231944,Joselito F. Bernabe-0917-129-3371
